"Code du chapitre SH";"Libellé du chapitre SH";"Code du groupement d'utilisation";"Libellé du groupement d'utilisation";"Code de la section CTCI";"Libellé de la section CTCI";"Poids en KG Janvier 2000";"Poids en KG Février 2000";"Poids en KG Mars 2000";"Poids en KG Avril 2000";"Poids en KG Mai 2000";"Poids en KG Juin 2000";"Poids en KG Janvier 2001";"Poids en KG Février 2001";"Poids en KG Mars 2001";"Poids en KG Avril 2001";"Poids en KG Mai 2001";"Poids en KG Juin 2001";
"71";"PERLES FINES, PIERRES GEMMES ET MÉTAUX PRÉCIEUX, PLAQUÉS";"8";"PRODUITS FINIS DE CONSOMMATION";"II";"PIÈCES D'OR ET PIÈCES AYANT COURS";"0";"0";"14";"0";"0";"0";"0";"0";"0";"0";"13440";"26880";
"71";"PERLES FINES, PIERRES GEMMES ET MÉTAUX PRÉCIEUX, PLAQUÉS";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"39464";"157106";"47701";"42945";"45527";"61181";"26377";"35718";"41427";"45104";"43237";"83805";
"72";"FONTE, FER ET ACIER";"4";"PRODUITS BRUTS D'ORIGINE MINERALE";"2";"MATIÈRES BRUTES NON COMESTIBLES À L'EXCEPTION DES CARBURANTS";"10514940";"10944750";"8339170";"13338550";"22901720";"20950870";"11406845";"18102954";"8195002";"12692380";"25951187";"24513876";
"72";"FONTE, FER ET ACIER";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"85182561";"150573668";"111173786";"145791939";"114584763";"107909495";"104257086";"94502405";"132608197";"169495082";"113191432";"131193899";
"73";"OUVRAGES EN FONTE, FER OU ACIER";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"3919321";"4126574";"3640617";"4045215";"6532594";"5459803";"4179207";"4445344";"6082015";"5249621";"7380076";"4351885";
"73";"OUVRAGES EN FONTE, FER OU ACIER";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"5618852";"4576395";"2306580";"1552550";"1986685";"1942404";"6357470";"2293144";"2167283";"1622152";"3054408";"2370908";
"73";"OUVRAGES EN FONTE, FER OU ACIER";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"6988211";"2481373";"2084140";"1692009";"3573762";"18064907";"1484919";"3182173";"469852";"2233073";"1040259";"2390583";
"73";"OUVRAGES EN FONTE, FER OU ACIER";"5";"DEMI  PRODUITS";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"89345";"28341";"49053";"98884";"57275";"22350";"66134";"40591";"32411";"49542";"22015";"45842";
"73";"OUVRAGES EN FONTE, FER OU ACIER";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"21749";"21770";"37630";"102122";"6606";"38801";"10051";"46315";"37254";"76864";"1329";"56912";
"74";"CUIVRE ET OUVRAGES EN CUIVRE";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"0";"0";"296";"340";"0";"38";"118";"131";"0";"120";"118";"86";
